,Mean Bias Score,RMSE Score,Spatial Distribution Score,Phase Shift Score,Overall Score
GPP,0.744,0.749,0.91,0.998,0.83
Ra,0.71,0.736,0.894,0.998,0.815
NPP,0.761,0.745,0.921,0.996,0.834
Rh,0.688,0.733,0.883,0.997,0.807
fFire,0.354,0.388,0.733,0.887,0.55
fLuc,0.374,0.557,0.446,0.312,0.449
NBP,0.825,0.715,0.911,0.357,0.705
MRRO,0.713,0.741,0.932,0.984,0.822
MRSO,0.383,0.632,0.818,0.997,0.692
ET,0.86,0.845,0.956,0.998,0.901
cVeg,0.578,,,0.988,
cSoil,0.537,,,0.993,
cLitter,0.619,,,0.999,
cTotal,0.111,0.249,0.502,0.99,0.42
LAI,0.526,0.667,0.897,0.992,0.75